ID,Family,Generat,Tr,Sex,MReads,matchV48,Mapping,trtG1G2,outcome,No.Worms,Slfin,Tlfin,Wnettofin,Cfresfin,BC,BCgen ,HK.W,SPL.W,L.W,GON.W,BK.W,integration[RLU],peak[RLU/sec],Tpeak[min],G/L_ratio
S44,Fam11,O,TT,F,10,V48_252,69.9,E_exposed,infected,1,45,51,976,52.54,1.60368,1.02445,2.3,0.8,29.6,16.2,4,5123708.3,897,60.11,0.47
S45,Fam11,O,CC,F,12.3,V48_108,67.6,NE_control,control,0,40,46,779,87.306,-0.22178,-0.52742,4.7,0.9,31.3,8.7,2.5,7360560.4,1372,65.11,0.24
S46,Fam11,O,CC,F,8.3,V48_139,68.3,NE_control,control,0,40,46,781,89.306,-0.25401,-0.56243,3.3,1,35.4,11.5,2,3025612.5,462,60.11,0.24
S47,Fam11,O,CC,F,13.3,V48_262,69.3,NE_control,control,0,43,49,873,42.247,1.26347,0.82727,4,0.8,30.1,12.2,2.5,4165286,685,65.11,0.54
S48,Fam11,O,CC,M,12.9,V48_364,67.4,NE_control,control,0,41,46,795,56.953,0.52039,0.19252,4.9,1.2,26.1,1.4,2.4,2826301.3,471,15.1,0.56
S49,Fam11,O,CT,F,11.9,V48_140,66.2,NE_exposed,infected,2,43,49,848,17.247,1.66633,1.26485,3.1,1.2,31.2,18.5,2.3,4360868.2,686,60.11,0.43
S50,Fam11,O,CT,F,9.3,V48_263,66.8,NE_exposed,infected,3,43,49,860,29.247,1.47295,1.05482,4.2,0.8,29.7,11.4,2.9,3871094.1,697,55.11,0.46
S51,Fam11,O,CT,F,10.7,V48_365,65.8,NE_exposed,infected,4,41,47,739,0.953,1.42279,1.17271,2.2,0.8,25,13.5,2.8,3693492.9,645,55.11,1.06
S52,Fam11,P,T,M,11.2,9,65.4,Exposed,infected,2,45,51,1046,11.705,0.47568,1.04331,3.1,0.8,37.2,14.1,161,2862450,376.5,75.11,0.5513
S53,Fam11,P,C,M,12.6,10,67.1,Control,control,0,44,49,1057,12.48,-0.70158,-0.08915,6.9,1.1,38.6,11.8,273,4441521,553,77.61,0.6382
S54,Fam17,O,TC,F,13,V48_008,66.4,E_control,control,0,36,41,546,39.718,-0.46713,-0.44918,4.1,0.3,28.8,9.1,1.6,2531542.5,467,55.11,0.55
S55,Fam17,O,TC,F,9,V48_171,66.6,E_control,control,0,31,35,308,33.483,-1.63191,-1.28341,1,0.4,10,5.6,1,508867.3,62,90.11,0.86
S56,Fam17,O,TC,F,10.1,V48_298,65.4,E_control,control,0,34,39,411,-2.576,-0.29169,-0.08624,2,0.3,17.6,4.9,1.8,2197647.1,321,50.11,0.84
S57,Fam17,O,TC,M,8.8,V48_372,63.1,E_control,control,0,34,38,400,-13.576,-0.11443,0.10629,1.2,0.4,14.5,0.1,1.7,2091008.9,324,60.11,0.66
S58,Fam17,O,TT,F,13.6,V48_009,66.8,E_exposed,infected,1,32,37,408,87.13,-2.24334,-2.03373,3.7,0.4,19.1,1.9,0.5,1599779.7,305,70.11,0.67
S59,Fam17,O,TT,M,10.5,V48_391,65,E_exposed,infected,1,32,37,352,31.13,-1.34094,-1.05356,1.1,0.3,11.7,0.1,1.2,1682195.2,257,70.11,0.36
S60,Fam17,O,CC,F,10.6,V48_017,69.8,NE_control,control,0,35,41,617,157.071,-2.61125,-2.6919,4.1,0.2,21.6,7.6,1.8,2074142.4,413,55.11,0.94
S61,Fam17,O,CC,F,9.3,V48_018,69.6,NE_control,control,0,35,40,491,31.071,-0.58084,-0.4865,4,0.1,17,6.2,0.1,1463057.1,275,70.11,1.06
S62,Fam17,O,CC,F,11.7,V48_174,71.4,NE_control,control,0,32,37,345,24.13,-1.22814,-0.93103,0.8,0.1,8.8,5.9,1.1,717637.4,111,95.11,0.74
S63,Fam17,O,CC,F,10.4,V48_348,70.4,NE_control,control,0,36,41,466,-40.282,0.82202,0.95108,1.9,0.1,22.2,6.8,2.2,2724099.2,475,70.11,0.8
S64,Fam17,O,CT,F,10.7,V48_198,72.2,NE_exposed,infected,2,32,37,328,7.13,-0.95419,-0.63348,1,0.1,6.8,5.1,0.9,476258.3,56,90.11,0.33
