Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
G04948-L1_S76_L005_R1_001_trimmed_cutadapt	72.77516510940328	33.0	92.57729191558907	27.27272727272727	11319625.0
G04949-L1_S77_L005_R1_001_trimmed_cutadapt	72.59288057993086	33.0	94.18284921188189	18.181818181818183	11085648.0
G04950-L1_S78_L005_R1_001_trimmed_cutadapt	72.79934773160869	31.0	94.69188941296599	18.181818181818183	12320070.0
G04951-L1_S79_L005_R1_001_trimmed_cutadapt	65.55365822904122	32.0	93.76971759480733	18.181818181818183	7218033.0
G04952-L1_S80_L005_R1_001_trimmed_cutadapt	71.38173761197896	32.0	93.76997136713912	18.181818181818183	11251408.0
G04953-L1_S81_L005_R1_001_trimmed_cutadapt	74.65908017919755	32.0	94.2834134680799	27.27272727272727	12457559.0
G04954-L1_S82_L005_R1_001_trimmed_cutadapt	72.31122599820588	32.0	94.56053107683243	18.181818181818183	9844150.0
G04955-L1_S83_L005_R1_001_trimmed_cutadapt	72.68591314279726	33.0	93.98313228579188	27.27272727272727	10858377.0
G04956-L1_S84_L005_R1_001_trimmed_cutadapt	71.62990500427553	32.0	94.43945830302857	18.181818181818183	11657957.0
G04957-L1_S85_L005_R1_001_trimmed_cutadapt	72.09669498875547	31.0	94.82046381136007	18.181818181818183	11129266.0
G04958-L1_S86_L005_R1_001_trimmed_cutadapt	73.74087233651298	32.0	94.80627944591649	18.181818181818183	10044262.0
G04959-L1_S87_L005_R1_001_trimmed_cutadapt	72.9570743213627	31.0	94.54728406946866	18.181818181818183	10146504.0
G04960-L1_S88_L005_R1_001_trimmed_cutadapt	73.74236281453975	31.0	94.69794076176011	18.181818181818183	10009818.0
G04961-L1_S89_L005_R1_001_trimmed_cutadapt	73.53279511006046	32.0	94.72466612760579	18.181818181818183	9970426.0
G04962-L1_S90_L005_R1_001_trimmed_cutadapt	73.44872682838268	33.0	93.17506657137672	27.27272727272727	10727959.0
G04963-L1_S91_L006_R1_001_trimmed_cutadapt	71.42261192374477	32.0	94.89516030449059	18.181818181818183	12082475.0
G04964-L1_S92_L006_R1_001_trimmed_cutadapt	70.1493476988926	31.0	95.48167481646651	18.181818181818183	9586125.0
G04965-L1_S93_L006_R1_001_trimmed_cutadapt	71.1017648771477	31.0	95.68427735088372	18.181818181818183	10924126.0
G04966-L1_S94_L006_R1_001_trimmed_cutadapt	68.94574756773137	30.0	95.82740863368984	18.181818181818183	8297889.0
G04967-L1_S95_L006_R1_001_trimmed_cutadapt	74.65625518782306	32.0	96.54413801509007	18.181818181818183	9427259.0
G04968-L1_S96_L006_R1_001_trimmed_cutadapt	74.01191601423892	31.0	96.87594196546031	18.181818181818183	10330262.0
G04969-L1_S97_L006_R1_001_trimmed_cutadapt	72.52037838920228	31.0	95.16383268912332	18.181818181818183	12808970.0
G04970-L1_S98_L006_R1_001_trimmed_cutadapt	72.28103143844173	31.0	95.92222670952943	18.181818181818183	10523510.0
G04971-L1_S99_L006_R1_001_trimmed_cutadapt	72.43144326810602	31.0	95.4232937326216	18.181818181818183	10110256.0
G04972-L1_S100_L006_R1_001_trimmed_cutadapt	70.56903671556327	32.0	94.76530748077668	18.181818181818183	12034606.0
G04973-L1_S101_L006_R1_001_trimmed_cutadapt	72.76746789193362	31.0	96.6124413472019	18.181818181818183	10274659.0
G04974-L1_S102_L006_R1_001_trimmed_cutadapt	74.63184910880165	31.0	96.65082843396732	18.181818181818183	10607665.0
G04975-L1_S103_L006_R1_001_trimmed_cutadapt	74.44496588319268	31.0	96.51358186749209	18.181818181818183	10723194.0
G04976-L1_S104_L006_R1_001_trimmed_cutadapt	74.81508955509082	31.0	96.60300709090653	18.181818181818183	9309529.0
G04977-L1_S105_L006_R1_001_trimmed_cutadapt	73.20731773984426	32.0	95.27319540936628	18.181818181818183	10564903.0
G04978-L1_S106_L006_R1_001_trimmed_cutadapt	71.88895731204093	31.0	95.03260330630053	18.181818181818183	10021775.0
G04979-L1_S107_L006_R1_001_trimmed_cutadapt	69.90701141860251	32.0	93.90531396802892	18.181818181818183	11417946.0
G04980-L1_S108_L006_R1_001_trimmed_cutadapt	71.91821337116833	32.0	94.54919546921084	18.181818181818183	11523114.0
G04981-L1_S109_L007_R1_001_trimmed_cutadapt	73.34887599121765	32.0	95.7463771411039	18.181818181818183	12359162.0
G04982-L1_S110_L007_R1_001_trimmed_cutadapt	56.729539632051456	32.0	96.09578316687409	18.181818181818183	3385313.0
G04983-L1_S111_L007_R1_001_trimmed_cutadapt	71.15632205270309	31.0	95.418938082727	18.181818181818183	10841805.0
G04984-L1_S112_L007_R1_001_trimmed_cutadapt	74.8982663152681	31.0	96.12577359765162	18.181818181818183	15436642.0
G04985-L1_S113_L007_R1_001_trimmed_cutadapt	74.2803528743961	31.0	96.1399808761667	18.181818181818183	11032307.0
G04986-L1_S114_L007_R1_001_trimmed_cutadapt	71.72568984441432	31.0	95.62551012253397	18.181818181818183	10711152.0
G04987-L1_S115_L007_R1_001_trimmed_cutadapt	73.07542107843254	31.0	96.13928526519629	18.181818181818183	10537195.0
G04988-L1_S116_L007_R1_001_trimmed_cutadapt	78.0316281527657	30.0	96.47362015950486	18.181818181818183	11079161.0
G04989-L1_S117_L007_R1_001_trimmed_cutadapt	75.76598043732014	31.0	96.31184858860166	18.181818181818183	12250227.0
G04990-L1_S118_L007_R1_001_trimmed_cutadapt	83.08736688626837	30.0	96.73894944742888	18.181818181818183	5461107.0
G04991-L1_S119_L007_R1_001_trimmed_cutadapt	72.72745466129336	30.0	96.47770692766494	18.181818181818183	9954191.0
