SampleID,Sample_Name,NbrMethylatedCpG,MappingEfficiency%BSBoldvsGynogen,percent_duplicates_rawReads,percent_GC_rawReads,M.Seqs_rawReads,percent_duplicates_trimmedReads,percent_gc_trimmedReads,avg_sequence_length_trimmedReads,percent_fails_trimmedReads,total_sequences_trimmedReads,ID,Family,Generat,Tr,Sex,MReads,matchV48,Mapping,trtG1G2,outcome,No.Worms...11,Slfin,Tlfin,Wnettofin,Cfresfin,BC,BCgen,HK.W,SPL.W,L.W,GON.W,BK.W,No.Worms...23,integration[RLU],peak[RLU/sec],Tpeak[min],G/L_ratio
S23,G04895-L1_S23_L002_R1_001,23800684,79.029,77.5%,32%,11.3,77.2128111261007,32,95.1941482940664,18.1818181818182,11262015,S23,Fam06,O,TT,M,11.3,V48_057,61.2,E_exposed,infected,5,40,46,706,14.306,0.95457,0.75031,3.6,0.7,21.9,4.2,3.5,5,1025671.6,177,85.11,2.49
S24,G04896-L1_S24_L002_R1_001,47930710,85.876,78.3%,33%,20.1,77.7642703197967,32,95.3477697798968,18.1818181818182,19853870,S24,Fam06,O,TT,F,20,V48_152,70.3,E_exposed,infected,1,41,47,660,-78.047,2.69583,2.55546,2.8,0.5,18.5,12.4,3.6,1,703565.1,110,80.11,0.97
S25,G04897-L1_S25_L002_R1_001,28395681,81.838,77.8%,35%,11.8,77.2277427860897,34,94.5887124064234,27.2727272727273,11690428,S25,Fam06,O,TT,M,11.7,V48_256,65.8,E_exposed,infected,2,41,47,832,93.953,-0.07584,-0.45509,2.6,0.9,16.6,7.7,13.9,2,885283.9,144,80.11,0.75
S26,G04898-L1_S26_L002_R1_001,24075767,80.605,73.1%,33%,11.2,72.6111654820253,32,95.4427808192072,18.1818181818182,11037208,S26,Fam06,O,TT,M,11.1,V48_363,63.2,E_exposed,infected,9,38,42,592,-6.988,0.79161,0.74568,4.4,0.4,12.9,4,3.8,9,1661786.1,287,90.11,0.92
S27,G04899-L1_S27_L002_R1_001,27575770,85.889,76.4%,32%,11.4,76.0863705825337,32,95.8615123111664,18.1818181818182,11376217,S27,Fam06,O,CC,M,11.4,V48_021,68.4,NE_control,control,0,41,46,824,85.953,0.05307,-0.31507,4.6,0.9,27,4.7,12.8,0,1661739,329,55.11,3.61
S28,G04900-L1_S28_L002_R1_001,33469928,88.975,77.8%,32%,12.8,77.5652557429955,32,96.3483083607703,18.1818181818182,12768680,S28,Fam06,O,CC,F,12.8,V48_082,72.3,NE_control,control,0,36,42,526,19.718,-0.14484,-0.09911,3.5,0.8,18.6,6.5,1.2,0,4107881.3,717,85.11,0.94
S29,G04901-L1_S29_L002_R1_001,23837179,86.11,72.4%,33%,9.6,71.7872644750961,33,95.840557443576,18.1818181818182,9405795,S29,Fam06,O,CC,F,9.5,V48_116,70.2,NE_control,control,0,41,47,771,32.953,0.90714,0.6126,6,1.3,30.8,19.600000000000001,3.2,0,3410217.6,607,80.11,1.05
S3,G04875-L1_S3_L001_R1_001,23454944,82.522,73.6%,32%,11.2,73.1022360467966,31,94.5223279384038,18.1818181818182,11123284,S3,Fam06,O,TC,F,11.2,V48_137,65.9,E_control,control,0,42,48,923,138.6,-0.54225,-1.04789,3.2,1.2,49.5,18.8,4.0999999999999996,0,2972330.5,508,80.11,0.43
S30,G04902-L1_S30_L002_R1_001,26772465,84.248,74.7%,33%,10.9,74.3470610950455,33,96.0713573077402,18.1818181818182,10824988,S30,Fam06,O,CC,F,10.9,V48_281,67,NE_control,control,0,40,45,776,84.306,-0.17344,-0.47491,4.9,0.9,30.6,13.8,3.5,0,1260135.3,207,80.11,0.46
S31,G04903-L1_S31_L002_R1_001,16229351,85.787,86.0%,38%,13.2,70.0752687335928,33,95.8046806641129,18.1818181818182,6257189,S31,Fam06,O,CT,F,6.6,V48_115,67.3,NE_exposed,infected,2,37,43,509,-43.635,1.1291,1.19844,2.6,0.4,18.3,7.6,1.4,2,1346311.4,209,95.11,1.37
