SampleID,Sample_Name,NbrMethylatedCpG,MappingEfficiency%BSBoldvsGynogen,percent_duplicates_rawReads,percent_GC_rawReads,M.Seqs_rawReads,percent_duplicates_trimmedReads,percent_gc_trimmedReads,avg_sequence_length_trimmedReads,percent_fails_trimmedReads,total_sequences_trimmedReads,FamilyOfFather,clutch.ID,fatherID,matchV48,HK.W,No.Worms,Wnettofin,Slfin,ID,Family,Generat,Tr,Sex,MReads,Mapping,trtG1G2,outcome,Tlfin,Cfresfin,BC,BCgen,SPL.W,L.W,GON.W,BK.W,integration.RLU.,peak.RLU.sec.,Tpeak.min.,G.L_ratio
S125,G04997-L1_S125_L007_R1_001,30801331,86.717,74.5%,34%,11.5,74.1890826730341,33,96.4804119497386,18.1818181818182,11488586,Fam11,NE_31,NA,65,3.5,0,919,43,S125,Fam11,P,C,M,11.5,68.9,Control,control,50,11.464,0.52221,0.57266,1,26.4,16.1,204,2456302,317,70.11,0.6074
S128,G05000-L1_S128_L008_R1_001,22002292,87.954,70.2%,31%,9.4,69.7659700780587,31,94.8138272552841,18.1818181818182,9304493,Fam17,E_46,S144,V48_038,3.8,0,365,33,S128,Fam17,O,TC,M,9.3,69.1,E_control,control,38,-2.223,-0.55043,-0.28109,0.3,12.4,0.2,1.2,854941.9,146,65.11,0.82
S129,G05001-L1_S129_L008_R1_001,30074171,86.605,72.9%,32%,12.7,72.2164683103198,32,94.654173329884,18.1818181818182,12562750,Fam17,E_46,S144,V48_203,1,0,330,31,S129,Fam17,O,TC,M,12.6,68.8,E_control,control,35,55.483,-1.98642,-1.66848,0.3,8.2,0.5,1.4,350440.4,49,70.11,0.72
S13,G04885-L1_S13_L001_R1_001,23734282,88.067,73.3%,32%,10.1,73.0863691995843,31,96.3541632608944,18.1818181818182,10038105,Fam6,NE_30,S16,V48_013,4.2,4,454,37,S13,Fam06,O,CT,F,10.1,71.1,NE_exposed,infected,42,-98.635,2.01539,2.16112,0.3,8.5,5.9,NA,NA,NA,NA,0.77
S130,G05002-L1_S130_L008_R1_001,22306695,87.303,72.9%,31%,10.2,72.5368811292148,31,95.7206842450298,18.1818181818182,10182025,Fam17,E_46,S144,V48_204,0.7,0,370,32,S130,Fam17,O,TC,M,10.2,69.4,E_control,control,37,49.13,-1.631,-1.36861,0.1,10,0.3,1.1,238101.3,27,85.11,0.25
S131,G05003-L1_S131_L008_R1_001,18583322,88.668,71.7%,31%,8.5,71.3760900924036,30,95.8680261875097,18.1818181818182,8493973,Fam17,E_46,S144,V48_002,3.4,6,274,30,S131,Fam17,O,TT,M,8.5,69.7,E_exposed,infected,34,45.836,-2.08402,-1.6883,0.1,7.6,0.1,0.3,NA,NA,NA,0.88
S132,G05004-L1_S132_L008_R1_001,25914753,86.957,73.3%,31%,11,72.8587706105017,31,95.9068539553905,18.1818181818182,10927442,Fam17,E_46,S144,V48_099,1,2,335,31,S132,Fam17,O,TT,F,11,69.5,E_exposed,infected,36,60.483,-2.06699,-1.756,0.1,10.1,6.8,1.6,692365.8,100,95.11,0.33
S133,G05005-L1_S133_L008_R1_001,22014108,87.977,73.5%,30%,10.4,73.2273809499199,30,96.3947612012609,18.1818181818182,10367873,Fam17,E_46,S144,V48_178,1,3,327,31,S133,Fam17,O,TT,M,10.4,69.3,E_exposed,infected,36,52.483,-1.93808,-1.61597,0.1,6.8,0.2,0.8,395237.2,53,100.11,0.51
S134,G05006-L1_S134_L008_R1_001,20623070,88.839,71.3%,30%,9.6,71.0513989578169,30,96.3671786803259,18.1818181818182,9548964,Fam17,E_46,S144,V48_202,1,1,472,35,S134,Fam17,O,TT,M,9.6,71.2,E_exposed,infected,40,12.071,-0.27467,-0.15394,0.3,13,2.8,2.2,381340.9,55,25.11,0.26
S135,G05007-L1_S135_L008_R1_001,22103551,89.315,76.2%,30%,10.5,75.998830269792,30,96.0671969772583,18.1818181818182,10469965,Fam17,NE_46,S143,V48_047,3.6,0,331,31,S135,Fam17,O,CC,M,10.5,71.2,NE_control,control,36,56.483,-2.00254,-1.68599,0.3,10.4,0.1,0.9,299015.7,45,85.11,0.77
S136,G05008-L1_S136_L008_R1_001,26966126,89.494,79.2%,29%,12.8,79.0992895365252,29,96.9404985817194,18.1818181818182,12807409,Fam17,NE_46,S143,V48_189,2,0,391,33,S136,Fam17,O,CC,M,12.8,72,NE_control,control,38,23.777,-0.9694,-0.73618,0.5,12.6,0.6,0.3,937141,135,20.11,0.72
S137,G05009-L1_S137_L008_R1_001,22271361,89.408,71.9%,31%,9.7,71.4576066316959,30,95.1061332173661,18.1818181818182,9657900,Fam17,NE_46,S143,V48_328,2.1,0,285,30,S137,Fam17,O,CC,F,9.7,71.7,NE_control,control,34,56.836,-2.26128,-1.88084,0.4,8.8,5.2,0.7,1867475.7,252,70.11,0.55
S138,G05010-L1_S138_L008_R1_001,22066735,88.732,71.6%,32%,9.9,70.4340242370717,31,95.1083862845326,18.1818181818182,9599877,Fam17,NE_46,S143,V48_378,1.6,0,444,34,S138,Fam17,O,CC,F,9.7,70.4,NE_control,control,39,30.424,-0.82346,-0.66385,0.4,15.7,5.9,2,2141092.9,351,70.11,0.96
S139,G05011-L1_S139_L008_R1_001,24094609,88.244,71.3%,31%,10.7,70.8703309194955,30,95.1403347119674,18.1818181818182,10641209,Fam17,NE_46,S143,V48_010,3.9,3,430,35,S139,Fam17,O,CT,M,10.7,70.6,NE_exposed,infected,39,-29.929,0.40214,0.5812,0.1,12.5,0.1,1.1,1156073.3,209,70.11,1.06
S14,G04886-L1_S14_L001_R1_001,23434755,84.116,71.6%,32%,10.5,71.1310171697497,31,95.2591591272909,18.1818181818182,10469147,Fam6,NE_30,S16,V48_211,2.1,1,688,42,S14,Fam06,O,CT,M,10.5,66.9,NE_exposed,infected,48,-96.4,3.24463,3.06537,1.2,16.3,1.1,2.8,1364347.2,190,75.11,0.7
S140,G05012-L1_S140_L008_R1_001,19971691,89.159,69.6%,31%,9,69.1052968859919,30,94.7749233146962,18.1818181818182,8883710,Fam17,NE_46,S143,V48_067,2.1,2,423,35,S140,Fam17,O,CT,F,8.9,71.6,NE_exposed,infected,40,-36.929,0.51494,0.70372,0.3,13.9,8.6,0.5,337334.9,45,110.11,1.38
S141,G05013-L1_S141_L008_R1_001,42459227,86.166,75.7%,32%,19.6,74.6580923440331,31,93.4252573418578,18.1818181818182,19186152,Fam17,NE_46,S143,V48_187,1.1,5,428,35,S141,Fam17,O,CT,M,19.3,68.3,NE_exposed,infected,40,-31.929,0.43437,0.6162,0.4,9.9,0.5,2.2,335313.9,38,75.11,2.05
S143,G05015-L1_S143_L008_R1_001,23779315,86.32,70.3%,32%,10.8,69.6742839454687,31,93.7862241142045,18.1818181818182,10781637,Fam17,NE_46,NA,109,5.9,0,1094,46,S143,Fam17,P,C,M,10.8,67.9,Control,control,52,11.615,0.70219,1.46529,1.5,50.2,8.3,515,3553671,798.5,15.1,0.9408
S144,G05016-L1_S144_L008_R1_001,28301850,85.172,73.9%,31%,12.4,73.5109274715553,31,95.8579892490954,18.1818181818182,12310406,Fam17,E_46,NA,110,4.1,1,1228,45,S144,Fam17,P,T,M,12.4,67.6,Exposed,infected,51.5,13.741,-2.45714,-1.14835,1.6,43.5,13.1,477,2572607,367,15.1,1.2838
S15,G04887-L1_S15_L001_R1_001,19222771,86.396,70.1%,32%,8.4,69.6256014775758,31,95.0609732524211,18.1818181818182,8308266,Fam6,NE_30,S16,V48_295,5.3,2,976,44,S15,Fam06,O,CT,F,8.3,68,NE_exposed,infected,50,98.893,0.60368,0.02444,1.3,46.1,16.4,5.2,2482191.8,355,85.11,1.25
S16,G04888-L1_S16_L001_R1_001,22619233,82.148,72.7%,32%,10.5,72.2906816481808,31,94.9902938508063,18.1818181818182,10478821,Fam6,NE_30,NA,62,4.1,0,931,43,S16,Fam06,P,C,M,10.5,64.8,Control,control,49,11.613,0.32883,0.42816,0.9,18.8,8.2,261,2834708,358.5,102.61,0.5291
S17,G04889-L1_S17_L001_R1_001,22454935,82.91,75.0%,34%,9.3,74.4458832833926,33,94.6526810828567,18.1818181818182,9211819,Fam6,E_30,NA,63,2.6,6,732,39,S17,Fam06,P,T,M,9.2,65.2,Exposed,infected,44,11.531,-0.46441,-1.17546,1.1,17.5,7.7,174,1914101,243,105.11,0.4579
